NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4382074,1,1,22602.0,29260.0,0.0,5720.0,4420.0,0.0,1300.0,0.0,0.0,0.0,2744.0
4382114,3,0,200000.0,84208.9992,1200.0,3640.0,3640.0,0.0,0.0,0.0,0.0,0.0,864.0
4382194,2,2,89254.4,108072.0,944.0,12336.0,11440.0,0.0,896.0,0.0,0.0,0.0,1860.0
4382264,2,2,34009.6,29151.0004,0.0,3380.0,2340.0,0.0,1040.0,0.0,0.0,0.0,1860.0
4382274,2,2,135000.0,69808.0004,0.0,13000.0,10400.0,0.0,2600.0,0.0,0.0,0.0,1092.0
4382384,1,1,54117.0,62200.0,0.0,6160.0,4160.0,0.0,2000.0,0.0,0.0,0.0,384.0
4382404,1,0,27179.2,33706.0004,600.0,12480.0,7280.0,0.0,5200.0,0.0,0.0,0.0,1336.0
4382424,4,0,336500.0,166659.7972,360.0,12860.0,7540.0,0.0,5320.0,0.0,3200.0,1200.0,1452.0
4382444,3,2,73159.6,96749.0,0.0,8580.0,6500.0,0.0,2080.0,0.0,0.0,0.0,1260.0
4382454,4,1,99927.8,52418.4004,240.0,10660.0,9100.0,0.0,1560.0,0.0,0.0,0.0,2720.0
4382524,2,0,25464.0,17256.0,0.0,3900.0,3900.0,0.0,0.0,0.0,0.0,0.0,492.0
4382534,1,1,17114.0,28964.0,0.0,1300.0,1300.0,0.0,0.0,3264.0,0.0,0.0,588.0
4382564,3,0,58269.4,33136.6,0.0,7280.0,7280.0,0.0,0.0,0.0,0.0,0.0,0.0
4382574,4,2,116514.0,83517.8,480.0,19060.0,11700.0,0.0,7360.0,0.0,0.0,0.0,2400.0
4382614,5,0,6094.8,25926.4004,0.0,6240.0,6240.0,0.0,0.0,0.0,0.0,0.0,2400.0
4382624,3,0,50026.6,10976.0,0.0,1664.0,1040.0,0.0,624.0,0.0,0.0,0.0,1312.0
4382634,1,0,62198.0,32178.2004,480.0,11700.0,8580.0,0.0,3120.0,0.0,0.0,0.0,0.0
4382654,2,1,211662.6,102631.0,720.0,8320.0,6500.0,0.0,1820.0,0.0,0.0,0.0,1124.0
4382684,3,1,28076.0,33453.9996,60.0,2600.0,1560.0,0.0,1040.0,0.0,0.0,0.0,1284.0
4382704,2,0,12582.0,33266.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,3536.0
4382714,5,0,53000.0,14471.0004,0.0,1560.0,1560.0,0.0,0.0,0.0,0.0,0.0,1940.0
4382724,2,0,48600.0,57136.0004,540.0,10920.0,10400.0,0.0,520.0,0.0,0.0,0.0,1820.0
4382734,1,0,9847.2,12186.0,0.0,3640.0,3640.0,0.0,0.0,0.0,0.0,0.0,1952.0
4382774,4,0,21000.0,51546.0,0.0,14120.0,8520.0,0.0,5600.0,0.0,0.0,0.0,0.0
4382814,3,1,126623.2,136934.7996,0.0,7280.0,3120.0,0.0,4160.0,0.0,0.0,0.0,0.0
4382844,1,1,243189.0,105455.7972,60.0,4932.0,1612.0,0.0,3320.0,0.0,0.0,0.0,1800.0
4382854,1,0,30998.0,29576.0,360.0,4160.0,3380.0,0.0,780.0,0.0,0.0,80.0,0.0
4382964,1,0,2400.0,19296.0,0.0,2600.0,2600.0,0.0,0.0,0.0,0.0,0.0,696.0
4382974,4,1,148500.0,92300.0004,1012.0,6228.0,5720.0,0.0,508.0,0.0,0.0,0.0,1020.0
4383054,6,1,381359.4,172633.3968,1700.0,21060.0,16900.0,0.0,4160.0,0.0,0.0,0.0,3132.0
4383064,6,1,73936.0,59188.4288,180.0,11700.0,6500.0,0.0,5200.0,440.0,0.0,0.0,576.0
4383084,4,1,43123.6,28111.5996,0.0,10660.0,10660.0,0.0,0.0,0.0,0.0,0.0,1460.0
4383124,2,1,20844.0,17124.0,0.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,1104.0
4383144,3,2,64800.0,45950.0004,0.0,12220.0,11700.0,0.0,520.0,0.0,0.0,0.0,2660.0
4383174,2,0,16864.0,15620.0,0.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,560.0
4383184,1,0,32000.0,27924.0,600.0,5200.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0
4383224,1,1,30542.0,34284.0,0.0,5820.0,2740.0,0.0,3080.0,0.0,0.0,0.0,1140.0
4383234,3,1,90600.0,101074.0004,0.0,7024.0,7024.0,0.0,0.0,0.0,0.0,0.0,1320.0
4383274,2,1,86585.8,46625.0004,0.0,8840.0,7280.0,0.0,1560.0,420.0,0.0,0.0,600.0
4383284,1,1,51955.2,24022.6004,240.0,9880.0,7800.0,0.0,2080.0,0.0,0.0,0.0,1800.0
4383334,2,0,149398.0,66915.0,600.0,5800.0,5200.0,0.0,600.0,0.0,0.0,0.0,1200.0
4383364,1,0,1749.4,85972.0,0.0,4160.0,4160.0,0.0,0.0,0.0,0.0,0.0,0.0
4383464,5,1,51980.4,104921.5996,960.0,11960.0,11960.0,0.0,0.0,0.0,0.0,0.0,788.0
4383474,2,1,57862.0,42427.0,0.0,9308.0,6500.0,0.0,2808.0,0.0,0.0,0.0,1500.0
4383544,3,0,35517.2,90290.7972,0.0,39000.0,39000.0,0.0,0.0,0.0,0.0,0.0,2132.0
